class,words
1999,"['the', '', 'of', 'approach', 'work', 'invaluable', 'my', 'on-going', 'with', 'development', 'children', 'different', 'an', 'love', 'from', 'families.', 'I', 'credit', 'played', 'had', 'experience.', 'in', 'skills', 'ways', 'role', 'capacities', 'after', 'for', 'to', 'professional', 'experiences', 'gained', 'and', 'The', 'continued', 'MPF', 'throughout', 'Education', 'learning.', 'terms', 'many']"
2000,[]
2001,"['the', 'singular', 'that', 'constantly', 'through', 'my', 'need', 'with', 'a', 'moment', 'was', 'passionate', 'advocate,', 'working', 'empathetic,', 'Being', 'defining', 'most', 'path', 'becoming', 'one', 'learned,', 'in', 'humble,', 'probably', 'be', 'minded,', 'fellowship,', 'to', 'learning,', 'social', 'fiercely', 'committed.', 'others', 'youth', 'and', 'open', 'MPF', 'justice']"
2002,[]
2003,"['the', 'believe', 'if', 'already', 'have', 'to', 'but', 'needed', 're-do', 'a', 'past', 'happy', 'i', 'testimonial', 'in', 'provided']"
2004,"['me', 'TBA', 'grateful', 'for', 'vision.', 'clear', 'my', 'forge', 'forever', 'with', 'early', 'a', 'Meeting', 'individuals', 'path', 'experiences.', 'helped', 'I', 'so', 'honed', 'career', 'like-minded', 'am', 'in']"
2005,"['', 'of', 'that', '12', 'my', 'pursue', 'Now,', 'organizing,', 'worker.', 'various', 'has', 'helped', 'met', 'I', 'It', 'MSW,', 'in', 'returning', 'community', 'therapist,', 'for', 'after', 'direction', 'husband', 'injustices', 'year!', 'clinical', 'past', 'changed', 'My', 'life!', 'the', 'cultivate', 'work', 'serve', 'experience', 'take', 'position', 'have', 'traumatic', 'a', 'continue', 'which', 'friendships', 'clients', 'settling', 'justice.', 'inspired', 'years.', 'made', 'who', 'me', 'followed', 'by', 'to', 'also', 'social', 'as', 'led', 'overcome', 'last', 'experiences.', 'and', 'become', 'Boston', 'school', 'passion', 'over', 'MPF', 'rewarding', 'career', 'truly']"
2006,"['the', '', 'of', 'work', 'towards', 'systemic', 'set', 'my', 'Through', 'eye', 'sustainability', 'lawyer.', 'a', 'was', 'trainings', 'an', 'which', 'has', 'path', 'becoming', 'I', 'awareness', 'enlivened', 'inequities', 'heightened.', 'service', 'bring', 'me', 'for', 'to', 'proven', 'invaluable.', 'social', 'project,', 'and', 'Practically,', 'passion', 'My', 'on', 'justice']"
2007,"['grateful', 'fantastic', 'invaluable', 'my', 'now', 'with', 'MPF!', 'amazing', 'was', 'an', 'worked', 'I', 'youth,', 'lifelong', 'underserved', 'meaningfully', 'unforgettable', 'experience.', 'made', 'in', 'year', 'for', 'to', 'engage', 'and', 'MPF', 'so', 'communities,', 'friends.', 'memories', 'incredible', 'how', 'am', 'learned']"
2008,[]
