ID,Count,Term,Sentiment Score
0,8,like,0.3612
1,8,justice,0.5267
2,6,passion,0.4588
3,6,opportunities,0.3818
4,6,gained,0.3818
5,6,confidence,0.5106
6,5,support,0.4019
7,5,strong,0.5106
8,5,profit,0.4404
9,5,grateful,0.4588
10,5,amazing,0.5859
11,4,supports,0.3612
12,4,recommend,0.3612
13,4,opportunity,0.4215
14,4,inspired,0.4939
15,4,important,0.2023
16,4,growth,0.3818
17,4,friends,0.4767
18,4,created,0.25
19,4,create,0.2732
20,3,prepared,0.2263
21,3,passionate,0.5267
22,3,love,0.6369
23,3,hope,0.4404
24,3,challenges,0.0772
25,3,caring,0.4939
26,3,best,0.6369
27,2,well,0.2732
28,2,value,0.34
29,2,thankful,0.5719
30,2,thank,0.3612
31,2,supportive,0.296
32,2,safe,0.4404
33,2,promises,0.3818
34,2,promise,0.3182
35,2,positive,0.5574
36,2,meaningful,0.3182
37,2,interested,0.4019
38,2,interest,0.4588
39,2,help,0.4019
40,2,happy,0.5719
41,2,gain,0.5267
42,2,friendships,0.3818
43,2,credit,0.3818
44,2,confident,0.4939
45,2,chance,0.25
46,2,better,0.4404
47,2,ability,0.3182
48,1,wonderful,0.5719
49,1,want,0.0772
50,1,vision,0.25
51,1,values,0.4019
52,1,validated,0.2263
53,1,truly,0.4404
54,1,true,0.4215
55,1,thoughtfully,0.4019
56,1,supporting,0.4404
57,1,strengthening,0.4939
58,1,share,0.296
59,1,rewarding,0.5267
60,1,respects,0.3182
61,1,reached,0.1027
62,1,privilege,0.3612
63,1,played,0.34
64,1,passions,0.4939
65,1,nurtures,0.4404
66,1,loving,0.5994
67,1,loved,0.5994
68,1,improved,0.4767
69,1,honored,0.5859
70,1,helping,0.296
71,1,growing,0.1779
72,1,greatest,0.6369
73,1,greater,0.3612
74,1,great,0.6249
75,1,good,0.4404
76,1,glad,0.4588
77,1,fulfills,0.25
78,1,fantastic,0.5574
79,1,excited,0.34
80,1,ensure,0.3818
81,1,engage,0.34
82,1,energy,0.2732
83,1,encouraged,0.3612
84,1,empathetic,0.4019
85,1,effective,0.4767
86,1,dynamic,0.3818
87,1,dreams,0.4019
88,1,dream,0.25
89,1,defense,0.128
90,1,creating,0.296
91,1,creates,0.2732
92,1,compassion,0.4588
93,1,committed,0.2732
94,1,commitment,0.3818
95,1,clear,0.3818
96,1,cherish,0.3818
97,1,challenging,0.1531
98,1,certain,0.2732
99,1,care,0.4939
100,1,capable,0.3818
101,1,boost,0.4019
102,1,appreciate,0.4019
